fid,table,foreign_table,foreign_column
AP_INVOICE_LINES_ALL.RCV_SHIPMENT_LINES.RCV_SHIPMENT_LINE_ID,AP_INVOICE_LINES_ALL,RCV_SHIPMENT_LINES,RCV_SHIPMENT_LINE_ID
"AP_INVOICE_LINES_ALL.GL_USSGL_TRANSACTION_CODES.SET_OF_BOOKS_ID, USSGL_TRANSACTION_CODE",AP_INVOICE_LINES_ALL,GL_USSGL_TRANSACTION_CODES,"SET_OF_BOOKS_ID, USSGL_TRANSACTION_CODE"
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.PREPAY_INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,PREPAY_INVOICE_ID
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.PREPAY_INVOICE_ID, PREPAY_LINE_NUMBER",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"PREPAY_INVOICE_ID, PREPAY_LINE_NUMBER"
"FA_ADJ_SRC_LINES_T.AP_INVOICE_LINES_ALL.INVOICE_ID, INVOICE_LINE_NUMBER",FA_ADJ_SRC_LINES_T,AP_INVOICE_LINES_ALL,"INVOICE_ID, INVOICE_LINE_NUMBER"
"FA_ASSET_INVOICES.AP_INVOICE_LINES_ALL.INVOICE_ID, INVOICE_LINE_NUMBER",FA_ASSET_INVOICES,AP_INVOICE_LINES_ALL,"INVOICE_ID, INVOICE_LINE_NUMBER"
"AP_PREPAY_HISTORY_ALL.AP_INVOICE_LINES_ALL.INVOICE_ID, INVOICE_LINE_NUMBER",AP_PREPAY_HISTORY_ALL,AP_INVOICE_LINES_ALL,"INVOICE_ID, INVOICE_LINE_NUMBER"
"AP_PREPAY_HISTORY_ALL.AP_INVOICE_LINES_ALL.PREPAY_INVOICE_ID, PREPAY_LINE_NUM",AP_PREPAY_HISTORY_ALL,AP_INVOICE_LINES_ALL,"PREPAY_INVOICE_ID, PREPAY_LINE_NUM"
"AP_APINV_APPROVERS.AP_INVOICE_LINES_ALL.INVOICE_ID, LINE_NUMBER",AP_APINV_APPROVERS,AP_INVOICE_LINES_ALL,"INVOICE_ID, LINE_NUMBER"
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.CORRECTED_INV_ID, CORRECTED_LINE_NUMBER",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"CORRECTED_INV_ID, CORRECTED_LINE_NUMBER"
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.PA_CC_AR_INVOICE_ID, PA_CC_AR_INVOICE_LINE_NUM",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"PA_CC_AR_INVOICE_ID, PA_CC_AR_INVOICE_LINE_NUM"
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.RETAINED_INVOICE_ID, RETAINED_LINE_NUMBER",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"RETAINED_INVOICE_ID, RETAINED_LINE_NUMBER"
"AP_INVOICE_LINES_ALL.AP_INVOICE_LINES_ALL.PREPAY_INVOICE_ID, PREPAY_LINE_NUMBER",AP_INVOICE_LINES_ALL,AP_INVOICE_LINES_ALL,"PREPAY_INVOICE_ID, PREPAY_LINE_NUMBER"
"AP_ALLOCATION_RULES.AP_INVOICE_LINES_ALL.INVOICE_ID, CHRG_INVOICE_LINE_NUMBER",AP_ALLOCATION_RULES,AP_INVOICE_LINES_ALL,"INVOICE_ID, CHRG_INVOICE_LINE_NUMBER"
"FA_MC_ASSET_INVOICES.AP_INVOICE_LINES_ALL.INVOICE_ID, INVOICE_LINE_NUMBER",FA_MC_ASSET_INVOICES,AP_INVOICE_LINES_ALL,"INVOICE_ID, INVOICE_LINE_NUMBER"
"FA_MASS_ADDITIONS.AP_INVOICE_LINES_ALL.INVOICE_ID, INVOICE_LINE_NUMBER",FA_MASS_ADDITIONS,AP_INVOICE_LINES_ALL,"INVOICE_ID, INVOICE_LINE_NUMBER"
